LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
650301,WAYNE,CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,24,18.6%,38,29.4%,62,48%,MIDDLE/HIGH,SCHOOL DISTRICT,215 GLASGOW ST,CLYDE,NY,14433,,,"215 GLASGOW ST
CLYDE, NY 14433
(43.08851303900008, -76.86693034199999)"
530515,SCHENECTADY,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,65,15.3%,104,24.5%,169,39.9%,MIDDLE/HIGH,SCHOOL DISTRICT,2072 CURRY RD,SCHENECTADY,NY,12303,,,"2072 CURRY RD
SCHENECTADY, NY 12303
(42.77544579600004, -73.95281898299999)"
580103,SUFFOLK,NORTH BABYLON UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,109,17.3%,122,19.4%,231,36.7%,MIDDLE/HIGH,SCHOOL DISTRICT,5 JARDINE PL,NORTH BABYLON,NY,11703,,,"5 JARDINE PL
NORTH BABYLON, NY 11703
(40.72273017400005, -73.32460412399996)"
280216,NASSAU,ELMONT UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,131,12.4%,230,21.8%,361,34.2%,DISTRICT TOTAL,SCHOOL DISTRICT,135 ELMONT RD,ELMONT,NY,11003,,,"135 ELMONT RD
ELMONT, NY 11003
(40.70676819000005, -73.70989926899995)"
620901,ULSTER,RONDOUT VALLEY CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,126,17.4%,142,19.6%,268,37.1%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 9,ACCORD,NY,12404,,,"PO BOX 9
ACCORD, NY 12404
(41.78664467900006, -74.23030567899997)"
522001,SARATOGA,STILLWATER CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,27,10.9%,40,16.2%,67,27.2%,ELEMENTARY,SCHOOL DISTRICT,1068 HUDSON AVE,STILLWATER,NY,12170,,,"1068 HUDSON AVE
STILLWATER, NY 12170
(42.94975508300007, -73.64233444399997)"
660301,WESTCHESTER,EASTCHESTER UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,35,15.6%,16,7.1%,51,22.7%,MIDDLE/HIGH,SCHOOL DISTRICT,580 WHITE PLAINS RD,EASTCHESTER,NY,10709,,,"580 WHITE PLAINS RD
EASTCHESTER, NY 10709
(40.96232427900003, -73.81071094199996)"
280409,NASSAU,HERRICKS UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,161,12.9%,137,11%,298,23.9%,DISTRICT TOTAL,SCHOOL DISTRICT,999 B HERRICKS RD,NEW HYDE PARK,NY,11040,,,"999 B HERRICKS RD
NEW HYDE PARK, NY 11040
(40.74807576100005, -73.65768049199994)"
580903,SUFFOLK,QUOGUE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 957,QUOGUE,NY,11959,,,"PO BOX 957
QUOGUE, NY 11959
(40.81997151200005, -72.60859562899998)"
560501,SENECA,SOUTH SENECA CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,20,14.9%,22,16.4%,42,31.3%,ELEMENTARY,SCHOOL DISTRICT,7263 S MAIN ST,OVID,NY,14521,,,"7263 S MAIN ST
OVID, NY 14521
(42.672588579000035, -76.82368637399998)"
530101,SCHENECTADY,DUANESBURG CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,13,10.4%,20,16%,33,26.4%,ELEMENTARY,SCHOOL DISTRICT,133 SCHOOL DR,DELANSON,NY,12053,,,"133 SCHOOL DR
DELANSON, NY 12053
(42.74882406300003, -74.18674708699996)"
572702,STEUBEN,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,35,16.2%,47,21.7%,82,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 81,JASPER,NY,14855,,,"PO BOX 81
JASPER, NY 14855
(42.12417953600004, -77.50282571199995)"
510401,SAINT LAWRENCE,CLIFTON-FINE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,,,15,46.8%,15,46.8%,MIDDLE/HIGH,SCHOOL DISTRICT,11 HALL AVE,STAR LAKE,NY,13690,,,"11 HALL AVE
STAR LAKE, NY 13690
(44.16354190100003, -75.04523843199996)"
580201,SUFFOLK,THREE VILLAGE CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,189,18%,114,10.8%,303,28.9%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 9050,EAST SETAUKET,NY,11733,,,"PO BOX 9050
EAST SETAUKET, NY 11733
(40.94087398000005, -73.10768491699997)"
640601,WASHINGTON,FORT EDWARD UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,10,15.6%,20,31.2%,30,46.8%,MIDDLE/HIGH,SCHOOL DISTRICT,220 BROADWAY,FORT EDWARD,NY,12828,,,"220 BROADWAY
FORT EDWARD, NY 12828
(43.27312309000007, -73.58653335199995)"
590901,SULLIVAN,LIBERTY CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,51,25%,50,24.5%,101,49.5%,MIDDLE/HIGH,SCHOOL DISTRICT,115 BUCKLEY ST,LIBERTY,NY,12754,,,"115 BUCKLEY ST
LIBERTY, NY 12754
(41.80538745400003, -74.75390395499994)"
591401,SULLIVAN,MONTICELLO CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,78,18.1%,68,15.8%,146,34%,ELEMENTARY,SCHOOL DISTRICT,237 FORESTBURGH RD,MONTICELLO,NY,12701,,,"237 FORESTBURGH RD
MONTICELLO, NY 12701
(41.64542611000007, -74.70396899299999)"
650101,WAYNE,NEWARK CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,111,19.8%,113,20.1%,224,40%,ELEMENTARY,SCHOOL DISTRICT,100 E MILLER ST,NEWARK,NY,14513,,,"100 E MILLER ST
NEWARK, NY 14513
(43.045846346000076, -77.09284108099996)"
610901,TOMPKINS,NEWFIELD CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,22,13.2%,29,17.4%,51,30.7%,ELEMENTARY,SCHOOL DISTRICT,247 MAIN ST,NEWFIELD,NY,14867,,,"247 MAIN ST
NEWFIELD, NY 14867
(42.36026192800006, -76.59613956099997)"
680801,YATES,DUNDEE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,45,17.7%,60,23.6%,105,41.3%,DISTRICT TOTAL,SCHOOL DISTRICT,55 WATER ST,DUNDEE,NY,14837,,,"55 WATER ST
DUNDEE, NY 14837
(42.52772814400004, -76.97679354999997)"
580502,SUFFOLK,ISLIP UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,177,18.1%,176,18%,353,36.1%,DISTRICT TOTAL,SCHOOL DISTRICT,215 MAIN ST,ISLIP,NY,11751,,,"215 MAIN ST
ISLIP, NY 11751
(40.72793328000006, -73.22079617399999)"
580224,SUFFOLK,PATCHOGUE-MEDFORD UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,311,18.5%,269,16%,580,34.6%,ELEMENTARY,SCHOOL DISTRICT,241 S OCEAN AVE,PATCHOGUE,NY,11772,,,"241 S OCEAN AVE
PATCHOGUE, NY 11772
(40.76023471800005, -73.01267932799993)"
541201,SCHOHARIE,SCHOHARIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,47,18.8%,47,18.8%,94,37.7%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 430,SCHOHARIE,NY,12157,,,"PO BOX 430
SCHOHARIE, NY 12157
(42.66628653500004, -74.31135755099996)"
580513,SUFFOLK,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,327,21.9%,477,32%,804,54%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 9027,CENTRAL ISLIP,NY,11722,,,"PO BOX 9027
CENTRAL ISLIP, NY 11722
(40.795688005000045, -73.19983950399995)"
630701,WARREN,LAKE GEORGE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,44,15.3%,45,15.6%,89,31%,DISTRICT TOTAL,SCHOOL DISTRICT,381 CANADA ST,LAKE GEORGE,NY,12845,,,"381 CANADA ST
LAKE GEORGE, NY 12845
(43.42879294000005, -73.71175712999997)"
512201,SAINT LAWRENCE,NORWOOD-NORFOLK CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,15,12.2%,40,32.7%,55,45%,MIDDLE/HIGH,SCHOOL DISTRICT,7852 STATE HWY 56,NORWOOD,NY,13668,,,"7852 STATE HWY 56
NORWOOD, NY 13668
(44.77533987600003, -74.98957137599996)"
580912,SUFFOLK,EASTPORT-SOUTH MANOR CSD,NASSAU-SUFFOLK,2014-2016,58,14.8%,43,10.9%,101,25.8%,MIDDLE/HIGH,SCHOOL DISTRICT,149 DAYTON AVE,MANORVILLE,NY,11949,,,"149 DAYTON AVE
MANORVILLE, NY 11949
(40.83950968000005, -72.83047931899995)"
541001,SCHOHARIE,MIDDLEBURGH CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,11,13.2%,8,9.6%,19,22.8%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 606,MIDDLEBURGH,NY,12122,,,"PO BOX 606
MIDDLEBURGH, NY 12122
(42.595633270000064, -74.32986024899998)"
411504,ONEIDA,NEW YORK MILLS UNION FREE SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,18,15.9%,20,17.6%,38,33.6%,ELEMENTARY,SCHOOL DISTRICT,1 MARAUDER BLVD,NEW YORK MILLS,NY,13417,,,"1 MARAUDER BLVD
NEW YORK MILLS, NY 13417
(43.091194932000064, -75.28994689899997)"
560701,SENECA,SENECA FALLS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,23,14.1%,37,22.8%,60,37%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 268,SENECA FALLS,NY,13148,,,"PO BOX 268
SENECA FALLS, NY 13148
(42.91139420300004, -76.79604647999997)"
280212,NASSAU,MALVERNE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,40,19.1%,39,18.6%,79,37.7%,MIDDLE/HIGH,SCHOOL DISTRICT,301 WICKS LN,MALVERNE,NY,11565,,,"301 WICKS LN
MALVERNE, NY 11565
(40.67027335500006, -73.66271281699994)"
412201,ONEIDA,HOLLAND PATENT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,28,14.2%,34,17.2%,62,31.4%,MIDDLE/HIGH,SCHOOL DISTRICT,9601 MAIN ST,HOLLAND PATENT,NY,13354,,,"9601 MAIN ST
HOLLAND PATENT, NY 13354
(43.24353161000005, -75.25362517099995)"
431401,ONTARIO,HONEOYE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,23,18.5%,24,19.3%,47,37.9%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 170,HONEOYE,NY,14471,,,"PO BOX 170
HONEOYE, NY 14471
(42.78095888000007, -77.50045174399997)"
600301,TIOGA,CANDOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2014-2016,27,25.9%,19,18.2%,46,44.2%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 145,CANDOR,NY,13743,,,"PO BOX 145
CANDOR, NY 13743
(42.22788889200007, -76.33795709999998)"
660409,WESTCHESTER,ELMSFORD UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,41,22%,44,23.6%,85,45.6%,ELEMENTARY,SCHOOL DISTRICT,98 S GOODWIN AVE,ELMSFORD,NY,10523,,,"98 S GOODWIN AVE
ELMSFORD, NY 10523
(41.05042103000005, -73.81754410399998)"
580506,SUFFOLK,HAUPPAUGE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,78,16.3%,73,15.3%,151,31.7%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 6006,HAUPPAUGE,NY,11788,,,"PO BOX 6006
HAUPPAUGE, NY 11788
(40.819022199000074, -73.20024087299998)"
280226,NASSAU,ISLAND TREES UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,47,12.6%,53,14.2%,100,26.8%,ELEMENTARY,SCHOOL DISTRICT,74 FARMEDGE RD,LEVITTOWN,NY,11756,,,"74 FARMEDGE RD
LEVITTOWN, NY 11756
(40.73525321300008, -73.50173944899996)"
480503,PUTNAM,PUTNAM VALLEY CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,37,14.2%,36,13.8%,73,28%,ELEMENTARY,SCHOOL DISTRICT,146 PEEKSKILL HOLLOW RD,PUTNAM VALLEY,NY,10579,,,"146 PEEKSKILL HOLLOW RD
PUTNAM VALLEY, NY 10579
(41.337733366000066, -73.85775304899994)"
580601,SUFFOLK,SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,66,17.7%,38,10.2%,104,28%,MIDDLE/HIGH,SCHOOL DISTRICT,250B RT 25A,SHOREHAM,NY,11786,,,"250B RT 25A
SHOREHAM, NY 11786
(40.94620614200005, -72.89363840499993)"
280501,NASSAU,NORTH SHORE CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,38,13.5%,25,8.8%,63,22.4%,MIDDLE/HIGH,SCHOOL DISTRICT,112 FRANKLIN AVE,SEA CLIFF,NY,11579,,,"112 FRANKLIN AVE
SEA CLIFF, NY 11579
(40.84677792800005, -73.64135656199994)"
280401,NASSAU,WESTBURY UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,232,22.5%,268,26%,500,48.5%,ELEMENTARY,SCHOOL DISTRICT,2 HITCHCOCK LN,OLD WESTBURY,NY,11568,,,"2 HITCHCOCK LN
OLD WESTBURY, NY 11568
(40.76852518000004, -73.58368519599998)"
662101,WESTCHESTER,SOMERS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,83,14.4%,46,8%,129,22.4%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 620,SOMERS,NY,10589,,,"PO BOX 620
SOMERS, NY 10589
(41.33831555100005, -73.70617124199998)"
280218,NASSAU,GARDEN CITY UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,72,13%,52,9.4%,124,22.4%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 216,GARDEN CITY,NY,11530,,,"PO BOX 216
GARDEN CITY, NY 11530
(40.72753884300005, -73.63786591599995)"
280405,NASSAU,NEW HYDE PARK-GARDEN CITY PARK UNION FREE SCHOOL DI,NASSAU-SUFFOLK,2014-2016,91,13%,98,14%,189,27%,ELEMENTARY,SCHOOL DISTRICT,1950 HILLSIDE AVE,NEW HYDE PARK,NY,11040,,,"1950 HILLSIDE AVE
NEW HYDE PARK, NY 11040
(40.750413931000026, -73.68105114399998)"
491401,RENSSELAER,HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,27,15.1%,36,20.2%,63,35.3%,ELEMENTARY,SCHOOL DISTRICT,2 PLEASANT AVE,SCHAGHTICOKE,NY,12154,,,"2 PLEASANT AVE
SCHAGHTICOKE, NY 12154
(42.90726555200007, -73.58045858999998)"
480102,PUTNAM,CARMEL CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,67,17.8%,66,17.5%,133,35.3%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 296,PATTERSON,NY,12563,,,"PO BOX 296
PATTERSON, NY 12563
(41.474548121000055, -73.54627982099998)"
660407,WESTCHESTER,GREENBURGH CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,67,17%,54,13.7%,121,30.7%,ELEMENTARY,SCHOOL DISTRICT,475 W HARTSDALE AVE-ADMIN BLDG,HARTSDALE,NY,10530,,,"475 W HARTSDALE AVE-ADMIN BLDG
HARTSDALE, NY 10530
(41.03136647800005, -73.80889775999998)"
571000,STEUBEN,CORNING CITY SCHOOL DISTRICT,FINGER LAKES,2014-2016,195,18.8%,173,16.7%,368,35.5%,DISTRICT TOTAL,SCHOOL DISTRICT,165 CHARLES ST,PAINTED POST,NY,14870,,,"165 CHARLES ST
PAINTED POST, NY 14870
(42.16134378400005, -77.09377700499994)"
280403,NASSAU,ROSLYN UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,69,13.2%,42,8%,111,21.3%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 367,ROSLYN,NY,11576,,,"PO BOX 367
ROSLYN, NY 11576
(40.799270189000026, -73.64620014399998)"
590801,SULLIVAN,ELDRED CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,62,18.7%,64,19.3%,126,38.1%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 249,ELDRED,NY,12732,,,"PO BOX 249
ELDRED, NY 12732
(41.52139870100007, -74.87118642799999)"
512404,SAINT LAWRENCE,HEUVELTON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,18,20%,20,22.2%,38,42.2%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 375,HEUVELTON,NY,13654,,,"PO BOX 375
HEUVELTON, NY 13654
(44.61946844100004, -75.40644412799998)"
580103,SUFFOLK,NORTH BABYLON UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,158,17.4%,157,17.3%,315,34.8%,ELEMENTARY,SCHOOL DISTRICT,5 JARDINE PL,NORTH BABYLON,NY,11703,,,"5 JARDINE PL
NORTH BABYLON, NY 11703
(40.72273017400005, -73.32460412399996)"
440301,ORANGE,CORNWALL CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,92,14.6%,80,12.7%,172,27.4%,MIDDLE/HIGH,SCHOOL DISTRICT,24 IDLEWILD AVE,CORNWALL ON HUDSON,NY,12520,,,"24 IDLEWILD AVE
CORNWALL ON HUDSON, NY 12520
(41.44582612900007, -74.01675865599998)"
580104,SUFFOLK,LINDENHURST UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,331,17.1%,372,19.2%,703,36.3%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 621,LINDENHURST,NY,11757,,,"PO BOX 621
LINDENHURST, NY 11757
(40.686955373000046, -73.37827471899993)"
442115,ORANGE,FLORIDA UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,25,20.6%,19,15.7%,44,36.3%,ELEMENTARY,SCHOOL DISTRICT,PO DRAWER BOX 757,FLORIDA,NY,10921,,,"PO DRAWER BOX 757
FLORIDA, NY 10921
(41.33346624700005, -74.35729991299996)"
630918,WARREN,GLENS FALLS COMMON SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,,,,,,,ELEMENTARY,SCHOOL DISTRICT,120 LAWRENCE ST,GLENS FALLS,NY,12801,,,"120 LAWRENCE ST
GLENS FALLS, NY 12801
(43.31412656700007, -73.63192156599996)"
512902,SAINT LAWRENCE,POTSDAM CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,75,14.7%,99,19.4%,174,34.2%,DISTRICT TOTAL,SCHOOL DISTRICT,29 LEROY ST,POTSDAM,NY,13676,,,"29 LEROY ST
POTSDAM, NY 13676
(44.67382072300006, -74.98137184699993)"
580405,SUFFOLK,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,204,15.2%,174,12.9%,378,28.2%,ELEMENTARY,SCHOOL DISTRICT,525 HALF HOLLOW RD,DIX HILLS,NY,11746,,,"525 HALF HOLLOW RD
DIX HILLS, NY 11746
(40.795033689000036, -73.35458143399995)"
580306,SUFFOLK,MONTAUK UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,32,26.8%,17,14.2%,49,41.1%,ELEMENTARY,SCHOOL DISTRICT,50 S DORSET DR,MONTAUK,NY,11954,,,"50 S DORSET DR
MONTAUK, NY 11954
(41.03525638600007, -71.95765685199996)"
420701,ONONDAGA,WESTHILL CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,51,14.2%,38,10.5%,89,24.7%,ELEMENTARY,SCHOOL DISTRICT,400 WALBERTA RD,SYRACUSE,NY,13219,,,"400 WALBERTA RD
SYRACUSE, NY 13219
(43.040507036000065, -76.22282843499994)"
671002,WYOMING,WYOMING CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2014-2016,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 244,WYOMING,NY,14591,,,"PO BOX 244
WYOMING, NY 14591
(42.82904507300003, -78.08463399099998)"
521401,SARATOGA,SOUTH GLENS FALLS CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,94,16%,72,12.3%,166,28.4%,ELEMENTARY,SCHOOL DISTRICT,6 BLUEBIRD RD,SOUTH GLENS FALLS,NY,12803,,,"6 BLUEBIRD RD
SOUTH GLENS FALLS, NY 12803
(43.27305199300008, -73.64776816299997)"
500401,ROCKLAND,RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN),HUDSON VALLEY,2014-2016,119,13.8%,130,15.1%,249,28.9%,ELEMENTARY,SCHOOL DISTRICT,45 MOUNTAIN AVE,HILLBURN,NY,10931,,,"45 MOUNTAIN AVE
HILLBURN, NY 10931
(41.125086440000075, -74.16936429599997)"
511101,SAINT LAWRENCE,GOUVERNEUR CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,101,17.5%,136,23.6%,237,41.1%,DISTRICT TOTAL,SCHOOL DISTRICT,133 E BARNEY ST,GOUVERNEUR,NY,13642,,,"133 E BARNEY ST
GOUVERNEUR, NY 13642
(44.34064591500004, -75.46518722499997)"
580913,SUFFOLK,TUCKAHOE COMMON SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,5,16.1%,,,5,16.1%,MIDDLE/HIGH,SCHOOL DISTRICT,468 MAGEE ST,SOUTHAMPTON,NY,11968,,,"468 MAGEE ST
SOUTHAMPTON, NY 11968
(40.89815394900006, -72.41641510199997)"
580209,SUFFOLK,ROCKY POINT UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,84,16.1%,87,16.7%,171,32.9%,MIDDLE/HIGH,SCHOOL DISTRICT,90 ROCKY PT-YAPHANK RD,ROCKY POINT,NY,11778,,,"90 ROCKY PT-YAPHANK RD
ROCKY POINT, NY 11778
(40.94507106100008, -72.94146785199996)"
280207,NASSAU,BELLMORE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,580 WINTHROP AVE,BELLMORE,NY,11710,,,"580 WINTHROP AVE
BELLMORE, NY 11710
(40.664970604000075, -73.52488375899998)"
421101,ONONDAGA,MARCELLUS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,107,16.9%,69,10.9%,176,27.8%,DISTRICT TOTAL,SCHOOL DISTRICT,2 REED PKWY,MARCELLUS,NY,13108,,,"2 REED PKWY
MARCELLUS, NY 13108
(42.98678406100004, -76.34098053999998)"
522101,SARATOGA,WATERFORD-HALFMOON UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,18,15.3%,35,29.9%,53,45.2%,MIDDLE/HIGH,SCHOOL DISTRICT,125 MIDDLETOWN RD,WATERFORD,NY,12188,,,"125 MIDDLETOWN RD
WATERFORD, NY 12188
(42.810747036000066, -73.68461931799999)"
570401,STEUBEN,BRADFORD CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,6,19.3%,5,16.1%,11,35.4%,MIDDLE/HIGH,SCHOOL DISTRICT,2820 RT 226,BRADFORD,NY,14815,,,"2820 RT 226
BRADFORD, NY 14815
(42.366882159000056, -77.09420009299998)"
650501,WAYNE,LYONS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,39,19.7%,35,17.7%,74,37.5%,ELEMENTARY,SCHOOL DISTRICT,10 CLYDE RD,LYONS,NY,14489,,,"10 CLYDE RD
LYONS, NY 14489
(43.06392523200003, -76.98513745699995)"
440102,ORANGE,WASHINGTONVILLE CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,124,18.9%,118,18%,242,36.9%,MIDDLE/HIGH,SCHOOL DISTRICT,52 W MAIN ST,WASHINGTONVILLE,NY,10992,,,"52 W MAIN ST
WASHINGTONVILLE, NY 10992
(41.42462390500003, -74.17144945699994)"
490301,RENSSELAER,EAST GREENBUSH CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,277,18.3%,233,15.4%,510,33.7%,DISTRICT TOTAL,SCHOOL DISTRICT,29 ENGLEWOOD AVE,EAST GREENBUSH,NY,12061,,,"29 ENGLEWOOD AVE
EAST GREENBUSH, NY 12061
(42.60048309000007, -73.70588167399995)"
580302,SUFFOLK,WAINSCOTT COMMON SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 79,WAINSCOTT,NY,11975,,,"PO BOX 79
WAINSCOTT, NY 11975
(40.95056436900006, -72.25116629699994)"
660701,WESTCHESTER,MAMARONECK UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,213,12.4%,158,9.2%,371,21.6%,DISTRICT TOTAL,SCHOOL DISTRICT,1000 W BOSTON POST RD,MAMARONECK,NY,10543,,,"1000 W BOSTON POST RD
MAMARONECK, NY 10543
(40.940852817000064, -73.74259132399999)"
680601,YATES,PENN YAN CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,46,15.4%,68,22.8%,114,38.3%,ELEMENTARY,SCHOOL DISTRICT,1 SCHOOL DR,PENN YAN,NY,14527,,,"1 SCHOOL DR
PENN YAN, NY 14527
(42.66712032600003, -77.06267507599995)"
280253,NASSAU,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,226,17.5%,128,9.9%,354,27.5%,MIDDLE/HIGH,SCHOOL DISTRICT,1260 MEADOWBROOK RD,NORTH MERRICK,NY,11566,,,"1260 MEADOWBROOK RD
NORTH MERRICK, NY 11566
(40.687931234000075, -73.56801000099995)"
541201,SCHOHARIE,SCHOHARIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,28,20.2%,19,13.7%,47,34%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 430,SCHOHARIE,NY,12157,,,"PO BOX 430
SCHOHARIE, NY 12157
(42.66628653500004, -74.31135755099996)"
280224,NASSAU,VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,45,20.7%,30,13.8%,75,34.5%,DISTRICT TOTAL,SCHOOL DISTRICT,75 HORTON AVE,VALLEY STREAM,NY,11581,,,"75 HORTON AVE
VALLEY STREAM, NY 11581
(40.653495140000075, -73.69169130099993)"
